00022437-a,300022474-s
00023074-r,none
00024417-a,none
00024619-a,300024701-s
00024834-a,300493366-s
00024996-a,300025079-s
00025138-a,none
00027833-a,300027946-s
00028471-a,300028584-s
00032358-a,300032471-s
00032358-a,300032471-s
00032598-r,none
00033359-a,300033472-s
00036163-a,300036276-s
00037919-v,200035596-v
00041014-r,400041294-r
00067379-a,300067988-s
00067638-a,300068247-s
00071142-a,300071750-s
00072436-a,300073044-s
00073763-r,none
00076921-a,300077529-a
00077059-a,300077667-s
00077196-a,300077804-s
00077354-a,300077962-s
00077449-a,300078057-a
00077645-a,300078253-a
00078329-a,300078919-s
00078463-a,300079053-s
00078576-a,300079166-s
00078705-a,300079295-s
00078851-a,300079441-s
00078942-a,300079532-s
00079069-a,300079659-s
00079262-a,300079852-s
00079356-a,300079946-s
00079485-a,300080075-s
00079629-a,300080219-s
00079629-a,300080219-s
00079786-a,300080376-s
00079786-a,300080376-s
00079786-a,300080376-s
00079896-a,300080486-s
00080098-a,300080688-s
00080213-a,300080803-s
00080357-a,300080947-s
00080698-a,300081288-s
00080861-a,none
00080981-a,300081451-s
00080981-a,300081451-s
00081087-a,300081557-s
00081234-a,300081704-s
00081417-a,300081887-s
00081513-a,300081983-s
00081930-a,300082400-s
00082034-a,300082504-s
00082034-a,300082504-s
00082034-a,300082504-s
00082034-a,300082504-s
00082160-a,300082630-s
00094799-a,300095652-s
00094941-a,300095794-s
00095094-a,300095947-s
00097674-a,400108184-r
00099590-a,none
00099704-a,300100425-s
00100506-a,300101225-s
00107128-a,300107940-s
00111604-a,300112415-s
00115094-a,300115905-s
00116463-a,300117274-a
00125711-a,300126583-a
00125993-a,300126865-s
00126116-a,300126988-s
00126116-a,300126988-s
00126235-a,300127107-s
00126339-a,300127211-s
00126339-a,300127211-s
00126339-a,300127211-s
00126497-a,300127369-s
00126702-a,300127574-s
00126830-a,300127702-s
00126830-a,300127702-s
00126830-a,300127702-s
00127137-a,300128009-s
00127137-a,300128009-s
00127296-a,300128168-a
00127543-a,300128433-s
00127543-a,300128433-s
00127661-a,300128551-s
00127815-a,300128705-s
00127948-a,300128838-s
00128137-a,300129209-s
00128262-a,300129334-s
00131692-a,300132764-s
00131692-a,300132764-s
00152896-a,300154164-a
00153083-a,300154351-s
00153898-a,300155165-a
00153964-v,200153784-v
00154163-a,300155430-s
00154163-a,300155430-s
00154270-a,300155537-s
00154583-a,300155850-s
